short_description,is_active,main_image,display_order,customization_options,tags,quantity_discounts,video_url,full_description,category_id,name,base_price,gallery,id,created_date,updated_date,created_by_id,created_by,is_sample
"סט מדבקות עמידות לתבלינים - מדבקה מבריקה עמידה למים ולחום גודל כל מדקה - כ-5*4 ס""מ 15 מדבקות לדף ניתן לרשום בהערות את סוגי התבלינים או ליצור קשר לעיצוב אישי...","true","https://messibella.co.il/image/cache/catalog/randomproducts/0tav/3-500x450.jpg","1","[]","[""sale""]","[]","","סט מדבקות עמידות לתבלינים - מדבקה מבריקה עמידה למים ולחום גודל כל מדקה - כ-5*4 ס""מ 15 מדבקות לדף ניתן לרשום בהערות את סוגי התבלינים או ליצור קשר לעיצוב אישי למדבקה","792bfee60f3d46d49a2bd6df","מדבקות עמידות לתבלינים","20","[""https://messibella.co.il/image/cache/catalog/randomproducts/0tav/a8fc8f7d-360e-466d-9312-91d8dc8454dd-150x150.jpg""]","86d7f8c226ea55aaf4aaea5f","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"בקבוק ספורט נירוסטה איכותי בעיצוב אישי בהדפסה ישירה. מתנה מושלמת לגילאי שנתיים ומעלה, וכמתנה לסוף שנה לגנים וכיתות. 500 מ""ל, עם קש מתקפל למנוע נזילות","true","https://messibella.co.il/image/cache/catalog/00drink/15-500x450.png","2","[{""type"":""select"",""label"":""עיצוב בקבוק"",""required"":true,""options"":[""מאיה"",""קשת"",""כתר ונסיכות"",""חלל (תמונה)"",""פינגווין"",""חלל"",""אננס זהב"",""כדורגל"",""רומי"",""טוהר"",""נסיכה"",""קלאסי"",""חד קרן"",""פירות (תמונה)"",""נהוראי""]}]","[""sale""]","[{""min_qty"":5,""max_qty"":null,""discount_percent"":10},{""min_qty"":10,""max_qty"":null,""discount_percent"":15},{""min_qty"":30,""max_qty"":null,""discount_percent"":23}]","","בקבוק ספורט נירוסטה איכותי בעיצוב אישי בהדפסה ישירה. מתנה מושלמת לגילאי שנתיים ומעלה, וכמתנה לסוף שנה לגנים וכיתות. 500 מ""ל, עם קש מתקפל למנוע נזילות","d68c27ea2ee7cef750aee352","בקבוק ספורט נירוסטה ממותג","39","[""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b10-150x150.png"",""https://messibella.co.il/image/cache/catalog/00drink/15-700x500.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b8-150x150.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b10-700x500.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b2-150x150.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b8-700x500.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b7-150x150.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b2-700x500.png"",""https://messibella.co.il/image/cache/catalog/00drink/14-150x150.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b7-700x500.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b6-150x150.png"",""https://messibella.co.il/image/cache/catalog/00drink/14-700x500.png"",""https://messibella.co.il/image/cache/catalog/00drink/13-150x150.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b6-700x500.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b5-150x150.png"",""https://messibella.co.il/image/cache/catalog/00drink/13-700x500.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b9-150x150.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000000hala/b5-700x500.png""]","d929ddcb243bf69294710569","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"בקבוק ""באולינג"" נירוסטה איכותי במיוחד בעל דופן כפולה לשמירה על טמפרטורה לאורך זמן. עשוי נירוסטה איכותית. מיועד לבוגרים / צוות","true","https://messibella.co.il/image/cache/catalog/00drink/img_20210609_143855-500x450.jpg","3","[]","[]","[{""min_qty"":5,""max_qty"":null,""discount_percent"":17},{""min_qty"":25,""max_qty"":null,""discount_percent"":25}]","","בקבוק ""באולינג"" נירוסטה איכותי במיוחד בעל דופן כפולה לשמירה על טמפרטורה לאורך זמן. עשוי נירוסטה איכותית. מיועד לבוגרים / צוות","d68c27ea2ee7cef750aee352","בקבוק תרמי נירוסטה כפולה","60","[]","33190eaf660a534c87965897","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"בקבוק ספורט נירוסטה איכותי בעיצוב אישי בהדפסה ישירה. מתנה מושלמת לגילאי שנתיים ומעלה, וכמתנה לסוף שנה לגנים וכיתות. 500 מ""ל, עם קש מתקפל למנוע נזילות","true","https://messibella.co.il/image/cache/catalog/00000000000000000set/b(1)-500x450.png","4","[]","[]","[]","","בקבוק ספורט נירוסטה איכותי בעיצוב אישי בהדפסה ישירה. מתנה מושלמת לגילאי שנתיים ומעלה, וכמתנה לסוף שנה לגנים וכיתות. 500 מ""ל, עם קש מתקפל למנוע נזילות","d68c27ea2ee7cef750aee352","בקבוק ספורט נירוסטה","33","[""https://messibella.co.il/image/cache/catalog/00000000000000000set/b(2)-500x450.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/b(3)-500x450.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/b(4)-500x450.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/b(5)-500x450.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/b(6)-500x450.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/b8-500x450.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/b9-500x450.png""]","6d5d5ee50807b6bb0200d740","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"בקבוק טרמי איכותי עשוי נירוסטה עם שכבה כפולה לשמירת על חום או קור מבית SWISS 500 מ""ל המחיר לא כולל מיתוג! מינ' 10 יחידות להזמנה","true","https://messibella.co.il/image/cache/catalog/00000000000000000000mada/sw607_white-min-500x450.jpg","5","[{""type"":""select"",""label"":""תוספות"",""required"":true,""options"":[""מיתוג (+₪5.00)""]}]","[]","[]","","בקבוק טרמי איכותי עשוי נירוסטה עם שכבה כפולה לשמירת על חום או קור מבית SWISS 500 מ""ל המחיר לא כולל מיתוג! מינ' 10 יחידות להזמנה","d68c27ea2ee7cef750aee352","בקבוק תרמי איכותי SWISS","35","[""https://messibella.co.il/image/cache/catalog/00000000000000000000mada/sw607_box-min-150x150.jpg""]","51eb2fd8606bbcae9e71423a","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"בקבוק שתייה מעוצב בשילוב נירוסטה. באישור מכון התקנים 750 מ”ל בקבוק מהמם ומתאים למיתוג שם. ניתן לצרף כחלק ממארז קיץ. המחיר לא כולל מיתוג! מינ' 10 יחידות להזמנה","true","https://messibella.co.il/image/cache/catalog/00000000000000000000mada/kr6409_all-500x450.jpg","6","[{""type"":""color"",""label"":""צבע"",""required"":true,""options"":[""ירוק"",""כחול"",""אדום""]},{""type"":""select"",""label"":""תוספות"",""required"":true,""options"":[""מיתוג (+₪5.00)""]}]","[]","[]","","בקבוק שתייה מעוצב בשילוב נירוסטה. באישור מכון התקנים 750 מ”ל בקבוק מהמם ומתאים למיתוג שם. ניתן לצרף כחלק ממארז קיץ. המחיר לא כולל מיתוג! מינ' 10 יחידות להזמנה","d68c27ea2ee7cef750aee352","בקבוק שתייה שקוף בשילוב נירוסטה","19","[""https://messibella.co.il/image/cache/catalog/00000000000000000000mada/kr6409_blue-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/00000000000000000000mada/kr6409_green-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/00000000000000000000mada/kr6409_red-150x150.jpg""]","4ba513a852d5297f2a87df8f","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"בקבוק שתיה מעוצב עם פיית סיליקון ומכסה היגייני הפיה נפתחת בקלות בלחיצת כפתור קלה עשוי נירוסטה 500 מ""ל","true","https://messibella.co.il/image/cache/catalog/0000/kr2-500x450.png","7","[]","[]","[{""min_qty"":10,""max_qty"":null,""discount_percent"":18}]","","בקבוק שתיה מעוצב עם פיית סיליקון ומכסה היגייני הפיה נפתחת בקלות בלחיצת כפתור קלה עשוי נירוסטה 500 מ""ל","d68c27ea2ee7cef750aee352","בקבוק נירוסטה איכותי עם פיה נשלפת בלחציה","49","[""https://messibella.co.il/image/cache/catalog/0000/k3-150x150.png"",""https://messibella.co.il/image/cache/catalog/0000/kr6105_blue-150x150.png"",""https://messibella.co.il/image/cache/catalog/0000/k4-150x150.png""]","75cba8fb39e8e69df6a94cac","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"ספל קרמיקה בעיצוב אישי עם שם. עיצוב אישי לכל לקוח כמו תמיד, כולל אחריות על המשלוח.","true","https://messibella.co.il/image/cache/catalog/cup/s(9)-500x450.jpg","8","[{""type"":""select"",""label"":""עיצוב הכוס"",""required"":true,""options"":[""תודה"",""למידה מרחוק"",""חיוך דרך המסיכה"",""לשאוף גבוה"",""חג שמח"",""מסגרת זהב"",""מאמין בו"",""פסח - זהב"",""פסח שמח - עלים""]},{""type"":""select"",""label"":""תוספת שוקולדים (כשרות בד\""צ)"",""required"":true,""options"":[""כן (+₪20.00)"",""לא""]},{""type"":""select"",""label"":""סוג ספל"",""required"":true,""options"":[""לבן חלק"",""ספל הפלא (+₪15.00)"",""ספל עם שפה כחולה (+₪10.00)"",""ספל עם שפה כתומה (+₪10.00)"",""ידית לב אדומה (+₪10.00)"",""ספל עם שפה אדומה (+₪10.00)""]}]","[]","[{""min_qty"":5,""max_qty"":null,""discount_percent"":25},{""min_qty"":30,""max_qty"":null,""discount_percent"":50}]","","ספל קרמיקה בעיצוב אישי עם שם. עיצוב אישי לכל לקוח כמו תמיד, כולל אחריות על המשלוח.","d58ac42ea4d106b62cd744ed","ספל הוקרה לצוות","40","[""https://messibella.co.il/image/cache/catalog/cup/s(1)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(9)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(2)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(1)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(3)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(2)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(4)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(3)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(5)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(4)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(6)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(5)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(7)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(6)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(8)-150x150.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(7)-700x500.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(5)-50x50.jpg"",""https://messibella.co.il/image/cache/catalog/cup/s(8)-700x500.jpg""]","bbc8aedbb0743fa7af607be3","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"הדפסה על ספל קרמיקה בעיצוב אישי - פשוט שולחים תמונה, אם רוצים ניתן להוסיף כיתוב, או הערות ואנחנו נדאג לשאר!","true","https://messibella.co.il/image/cache/catalog/randomproducts/obfjdk1-500x450.jpg","9","[{""type"":""select"",""label"":""סוג ספל"",""required"":true,""options"":[""לבן חלק"",""ספל הפלא (+₪5.00)"",""ספל פלסטיק (+₪5.00)"",""ספל עם שפה אדומה (+₪5.00)""]}]","[]","[{""min_qty"":10,""max_qty"":null,""discount_percent"":38}]","","הדפסה על ספל קרמיקה בעיצוב אישי - פשוט שולחים תמונה, אם רוצים ניתן להוסיף כיתוב, או הערות ואנחנו נדאג לשאר! לפני ההכנה תישלח הדמיה לאישור ניתן לשלוח תמונות בודדות דרך האתר, לשלוח תמונות בקובץ זיפ ( הסבר פה ) ניתן גם לשלוח תמונות אל כתובת המייל: Chaimovsky.d@gmail.com או לוואצאפ (קחו בחשבון ששליחת תמונות בוואצאפ פוגעת באיכות התמונה) לשליחת וואצאפ לחצו פה","d58ac42ea4d106b62cd744ed","הדפסה על ספל קרמיקה","40","[""https://messibella.co.il/image/cache/catalog/0000cosplastic/1-350x400.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/cc(1)-350x400.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/cc(2)-350x400.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/cc(3)-350x400.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/cc(4)-350x400.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/cc(5)-350x400.png"",""https://messibella.co.il/image/cache/catalog/00000000000000000set/cc6-350x400.png""]","850ef790b596b4ff4ae27e41","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
"כוס שמפניה ממותגת עם שם","true","https://messibella.co.il/image/cache/catalog/randomproducts/j-500x450.jpg","10","[{""type"":""color"",""label"":""צבע כיתוב"",""required"":true,""options"":[""זהב"",""שחור"",""כסף""]}]","[]","[]","","כוס שמפניה ממותגת עם שם","d58ac42ea4d106b62cd744ed","כוס שמפניה עם כיתוב","35","[]","8db7c91400026ed595f5a26b","2026-04-18T16:59:33.331Z","2026-04-18T16:59:33.331Z","69b025f6d48c02adde4cc280","chaimovsky.d@gmail.com","false"
